發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月16日 13時48分00秒,桃園市新屋區聚賢路205號前0.0公尺,死亡1;受傷0,普通重型-機車,121.029669,24.994300
110年01月16日 14時06分00秒,宜蘭縣礁溪鄉玉龍路二段87號前,死亡1;受傷1,自用-小客車;租賃車-小客車,121.787872,24.802050
110年01月16日 16時23分00秒,高雄市岡山區嘉峰路 / 高雄市岡山區嘉峰路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.311936,22.827783
110年01月16日 23時23分00秒,新北市五股區新北市五股區中興路3段192號旁,死亡1;受傷0,普通重型-機車,121.443922,25.082755
110年01月17日 02時34分00秒,新北市板橋區新北市板橋區環河西路4段000720號燈桿,死亡1;受傷0,普通重型-機車,121.485541,25.022253
110年01月17日 06時23分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區內惟路,死亡1;受傷0,普通輕型-機車;自用-小客車,120.283627,22.667691
110年01月17日 08時07分00秒,臺南市中西區健康路1段10號,死亡1;受傷0,自用-小客車;普通重型-機車,120.211739,22.981246
110年01月17日 10時44分25秒,新竹市香山區延平路二段45巷口,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,120.942658,24.805041
110年01月17日 20時40分34秒,桃園市中壢區中觀路二段(井厝幹28之30電桿)旁,死亡1;受傷0,普通重型-機車,121.163246,24.981192
110年01月18日 16時11分00秒,臺南市安定區安加里區道南132線口 / 臺南市安定區安加里市道178線口,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.235299,23.115109
110年01月18日 20時44分00秒,屏東縣崁頂鄉平和南路與龍港路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.474956,22.501589
110年01月19日 14時50分29秒,桃園市大園區聖德北路538號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.194297,25.039071
110年01月20日 05時47分00秒,新北市新莊區新北市新莊區福慧路與新知六路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車,121.458355,25.062229
110年01月20日 07時35分35秒,苗栗縣西湖鄉119線8.5公里處,死亡1;受傷1,自用-小客車;行人-人,120.750040,24.545616
110年01月20日 10時00分03秒,臺南市龍崎區182線往東22.7K附近,死亡1;受傷1,普通重型-機車;乘客-人,120.383248,22.948791
110年01月20日 10時20分00秒,宜蘭縣員山鄉八甲路12-1號前0.0公尺,死亡1;受傷0,普通輕型-機車,121.706298,24.723773
110年01月20日 11時08分00秒,桃園市新屋區東明路110號旁產業道路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.083728,24.975719
